20240704181344167569.pdb	AF-C7MVE8-F1-model_v3_std.pdb	0.447	257	133	5	4	257	50	300	4.835E-32	1126	9.338E-01
20240704181344167569.pdb	AF-D1A9G5-F1-model_v3_std.pdb	0.478	259	122	6	4	257	34	284	1.506E-32	1123	9.094E-01
20240704181344167569.pdb	AF-D1A646-F1-model_v3_std.pdb	0.440	259	132	6	4	257	40	290	4.547E-32	1099	9.047E-01
20240704181344167569.pdb	AF-D1A2H1-F1-model_v3_std.pdb	0.475	263	123	6	4	259	36	290	1.373E-31	1086	9.020E-01
20240704181344167569.pdb	AF-A0A2H5Z9R5-F1-model_v3_std.pdb	0.451	257	129	7	4	257	40	287	1.599E-30	1046	9.112E-01
20240704181344167569.pdb	AF-D3EH34-F1-model_v3_std.pdb	0.218	279	185	16	1	260	37	301	1.437E-15	439	7.730E-01
20240704181344167569.pdb	AF-C7MU02-F1-model_v3_std.pdb	0.203	270	182	13	11	255	9	270	2.275E-14	433	7.940E-01
20240704181344167569.pdb	AF-A0A4D4J5R6-F1-model_v3_std.pdb	0.208	268	178	11	11	256	54	309	1.024E-14	429	7.769E-01
20240704181344167569.pdb	AF-D1A2K6-F1-model_v3_std.pdb	0.219	269	175	17	1	259	173	416	5.214E-15	424	7.588E-01
20240704181344167569.pdb	AF-A0A0L0IX36-F1-model_v3_std.pdb	0.168	362	173	13	13	247	38	398	3.952E-14	402	7.510E-01
20240704181344167569.pdb	AF-K9U757-F1-model_v3_std.pdb	0.181	297	183	16	16	258	34	324	7.762E-14	401	7.715E-01
20240704181344167569.pdb	AF-K9U389-F1-model_v3_std.pdb	0.141	304	195	12	15	261	38	332	5.371E-14	397	7.579E-01
20240704181344167569.pdb	AF-D3PKA6-F1-model_v3_std.pdb	0.192	364	161	22	14	258	30	379	8.776E-14	384	7.329E-01
20240704181344167569.pdb	AF-Q8DJF1-F1-model_v3_std.pdb	0.165	339	177	12	14	257	200	527	6.256E-13	376	7.493E-01
20240704181344167569.pdb	AF-C7MVV4-F1-model_v3_std.pdb	0.199	276	179	18	2	261	35	284	5.204E-13	364	7.404E-01
20240704181344167569.pdb	AF-D7BIZ8-F1-model_v3_std.pdb	0.161	366	169	20	14	257	30	379	3.386E-13	363	7.202E-01
20240704181344167569.pdb	AF-K9U489-F1-model_v3_std.pdb	0.154	375	171	16	13	247	206	574	5.051E-14	363	6.959E-01
20240704181344167569.pdb	AF-A0A0X1KP80-F1-model_v3_std.pdb	0.164	383	174	17	13	258	54	427	3.944E-12	356	7.666E-01
20240704181344167569.pdb	AF-A0A0P6X9H7-F1-model_v3_std.pdb	0.133	360	190	15	14	259	113	464	2.008E-12	354	7.492E-01
20240704181344167569.pdb	AF-Q8DI73-F1-model_v3_std.pdb	0.146	354	196	20	10	263	200	547	1.525E-13	354	7.251E-01
20240704181344167569.pdb	AF-D3ED68-F1-model_v3_std.pdb	0.161	334	169	14	13	239	202	531	5.533E-13	349	6.932E-01
